geography,subsector
19147,mining
19149,construction
19149,mining
19151,construction
19151,mining
19153,mining
19155,mining
19157,construction
19157,mining
19159,construction
19159,mining
19161,construction
19161,mining
19163,mining
19165,construction
19165,mining
19167,construction
19167,mining
19169,mining
19171,construction
19171,mining
19173,construction
19173,mining
19175,construction
19175,mining
19177,construction
19177,mining
19179,mining
19181,mining
19183,construction
19183,mining
19185,construction
19185,mining
19187,construction
19187,mining
19189,construction
19189,mining
19191,construction
19191,mining
19193,mining
19195,construction
19195,mining
19197,construction
19197,mining
20001,construction
20001,mining
20003,construction
20005,construction
20005,mining
20007,construction
20009,mining
20011,construction
20013,construction
20013,mining
20015,construction
20015,mining
20017,construction
20017,mining
20019,construction
20019,mining
20023,construction
20023,mining
20025,construction
20025,mining
20027,mining
20029,construction
20029,mining
20031,construction
20033,construction
20033,mining
20035,construction
20035,mining
20039,construction
20039,mining
20041,construction
20041,mining
20043,construction
20043,mining
20045,mining
20047,construction
20047,mining
20049,construction
20049,mining
20051,mining
20053,construction
20053,mining
20055,construction
20055,mining
20057,mining
20059,construction
20059,mining
20061,construction
20061,mining
20063,construction
20063,mining
20065,construction
20065,mining
20067,construction
20067,mining
20069,construction
20069,mining
20071,construction
20071,mining
20073,construction
20073,mining
20075,construction
20075,mining
20077,construction
20077,mining
20079,construction
20079,mining
20081,construction
20081,mining
20083,construction
20083,mining
20085,construction
20085,mining
20087,construction
20087,mining
20089,construction
20089,mining
20091,mining
20093,construction
20093,mining
20095,construction
20095,mining
20097,construction
20097,mining
20099,mining
20101,construction
20101,mining
20103,construction
20105,construction
20105,mining
20107,construction
20109,construction
20109,mining
20111,mining
20113,construction
20113,mining
20115,construction
20115,mining
20117,construction
20117,mining
20119,construction
20119,mining
20121,mining
20123,construction
20123,mining
20125,construction
20125,mining
20127,construction
20127,mining
20129,construction
20129,mining
20131,construction
20131,mining
20133,construction
20133,mining
20135,construction
20135,mining
20137,construction
20139,construction
20141,construction
20141,mining
20143,construction
20143,mining
20145,construction
20145,mining
20147,construction
20147,mining
20149,construction
20149,mining
20151,construction
20151,mining
20153,construction
20153,mining
20155,construction
20155,mining
20157,construction
20157,mining
20159,construction
20159,mining
20161,mining
20163,construction
20163,mining
20165,construction
20165,mining
20167,mining
20169,construction
20169,mining
20171,construction
20171,mining
20173,mining
20175,construction
20175,mining
20177,mining
20179,construction
20179,mining
20181,construction
20181,mining
20183,construction
20183,mining
20185,construction
20185,mining
20187,construction
20187,mining
20189,construction
20189,mining
20191,construction
20191,mining
20193,construction
20193,mining
20195,construction
20195,mining
20197,construction
20197,mining
20199,construction
20199,mining
20201,construction
20201,mining
20203,construction
20203,mining
20205,construction
20205,mining
20207,construction
20207,mining
20209,mining
21001,construction
21001,mining
21003,mining
21005,mining
21007,construction
21007,mining
21009,mining
21011,construction
21013,construction
21017,mining
21019,mining
21021,construction
21021,mining
21023,construction
21023,mining
21025,construction
21027,construction
21029,construction
21029,mining
21031,construction
21033,construction
21035,construction
21035,mining
21037,mining
21039,construction
21039,mining
21041,construction
21041,mining
21043,construction
21043,mining
21045,construction
21045,mining
21049,mining
21051,construction
21053,construction
21055,construction
21057,construction
21057,mining
21061,construction
21061,mining
21063,construction
21065,construction
21065,mining
21067,mining
21069,construction
21069,mining
21073,mining
21075,construction
21075,mining
21077,construction
21077,mining
21079,construction
21079,mining
21081,construction
21081,mining
21083,construction
21083,mining
21085,construction
21087,construction
21087,mining
21089,mining
21091,construction
21091,mining
21095,construction
21097,construction
21097,mining
21099,construction
21099,mining
21101,construction
21103,construction
21105,construction
21105,mining
21107,construction
21109,construction
21111,mining
21113,mining
21115,construction
21117,mining
21119,construction
21121,construction
21123,construction
21123,mining
21125,construction
21127,construction
21129,construction
21131,construction
21133,construction
21135,construction
21135,mining
21137,construction
21137,mining
21139,construction
21141,construction
21141,mining
21143,construction
21143,mining
21147,construction
21149,construction
21151,mining
21153,construction
21155,construction
21155,mining
21157,mining
21159,construction
21161,construction
21161,mining
21163,construction
21163,mining
21165,construction
21165,mining
21167,construction
21167,mining
21169,construction
21169,mining
21171,construction
21171,mining
21173,construction
21173,mining
21177,construction
21179,mining
21181,construction
21181,mining
21183,construction
21185,mining
21187,construction
21189,construction
21189,mining
21191,construction
21193,construction
21195,construction
21197,construction
21197,mining
21201,construction
21201,mining
21203,construction
21203,mining
21205,construction
21205,mining
21207,construction
21207,mining
21209,mining
21211,mining
21213,mining
21215,construction
21215,mining
21217,construction
21217,mining
21219,construction
21219,mining
21221,construction
21221,mining
21223,construction
21223,mining
21225,construction
21227,mining
21229,construction
21229,mining
21233,construction
21237,construction
21237,mining
21239,mining
22001,construction
22001,mining
22003,construction
22003,mining
22005,mining
22007,construction
22007,mining
22009,construction
22009,mining
22011,construction
22011,mining
22013,construction
22013,mining
22015,mining
22017,mining
22019,mining
22021,construction
22021,mining
22023,construction
22023,mining
22025,construction
22025,mining
22027,construction
22027,mining
22029,construction
22029,mining
22031,construction
22031,mining
22033,mining
22035,construction
22035,mining
22037,construction
22037,mining
22039,mining
22041,mining
22043,construction
22043,mining
22045,mining
22047,construction
22047,mining
22049,construction
22049,mining
22051,mining
22053,construction
22053,mining
22055,mining
22057,mining
22059,construction
22059,mining
22061,mining
22063,mining
22065,construction
22065,mining
22067,mining
22069,construction
22069,mining
22071,mining
22073,mining
22075,construction
22075,mining
22077,construction
22077,mining
22079,mining
22081,construction
22081,mining
22083,construction
22083,mining
22085,construction
22085,mining
22087,construction
22087,mining
22089,mining
22091,construction
22091,mining
22093,construction
22093,mining
22095,mining
22097,construction
22097,mining
22099,construction
22099,mining
22101,mining
22103,mining
22105,mining
22107,construction
22107,mining
22109,mining
22111,construction
22111,mining
22113,construction
22113,mining
22115,mining
22117,construction
22117,mining
22119,mining
22121,mining
22123,construction
22123,mining
22125,construction
22125,mining
22127,construction
22127,mining
23001,mining
23003,construction
23005,mining
23007,construction
23011,construction
23011,mining
23013,construction
23013,mining
23015,construction
23015,mining
23017,construction
23019,mining
23021,construction
23021,mining
23023,mining
23025,mining
23027,construction
23027,mining
23029,construction
23031,mining
24001,construction
24009,mining
24011,mining
24017,mining
24019,mining
24023,construction
24027,mining
24029,construction
24029,mining
24033,mining
24035,mining
24037,mining
24039,construction
24039,mining
24041,construction
24041,mining
24043,mining
24045,mining
24047,mining
24510,mining
24510,water_treatment
25001,mining
25007,construction
25007,mining
25017,mining
25019,construction
25019,mining
25021,mining
25023,mining
25025,mining
26001,mining
26003,construction
26005,mining
26007,construction
26007,mining
26009,construction
26009,mining
26011,construction
26011,mining
26013,construction
26015,construction
26015,mining
26019,construction
26019,mining
26021,mining
26023,construction
26023,mining
26027,construction
26027,mining
26029,construction
26029,mining
26031,construction
26031,mining
26033,construction
26033,mining
26035,construction
